3-Pt Field Goal Attempts
1993-94 NBA 364 (6th)
1994-95 NBA 511 (4th)
1996-97 NBA 468 (7th)
1998-99 NBA 234 (10th)
1999-00 NBA 401 (6th)
Career NBA 4278 (18th)
Career 4278 (18th)
