Assists Per Game
1994-95 NBA 8.2 (6th)
1996-97 NBA 8.5 (8th)
1998-99 NBA 7.4 (10th)
1999-00 NBA 9.0 (2nd)
2000-01 NBA 8.5 (3rd)
Career NBA 6.6 (36th)
Career 6.6 (37th)
