3-Pt Field Goals
1993-94 NBA 123 (10th)
1994-95 NBA 183 (7th)
1996-97 NBA 177 (8th)
1999-00 NBA 133 (8th)
Career NBA 1528 (24th)
Career 1528 (24th)
