3-Pt Field Goal Attempts
1999-00 NBA 403 (5th)
2000-01 NBA 403 (7th)
2001-02 NBA 398 (9th)
2003-04 NBA 429 (7th)
Career NBA 2763 (90th)
Career 2763 (90th)
