Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Darrell Armstrong,,8.7,8.0,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0.0,
Michael Adams,93.6,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,,,,
Brian Taylor,93.0,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,,,,,
Jon McGlocklin,92.2,8.9,8.2,7.9,5.8,5.2,3.8,3.4,1.8,1.1,0.9,0.2,,,,
Kenny Smith,90.3,9.0,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,,,,,
Andy Phillip,89.9,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,,,,,
Rajon Rondo,89.8,9.9,9.6,7.2,6.6,4.9,4.6,3.2,2.4,1.6,1.1,,,,,
Alvin Robertson,89.6,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,,,
Sleepy Floyd,88.9,10.0,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1.0,0.9,-0.2,-0.4,,
B.J. Armstrong,88.4,8.1,7.5,7.5,7.0,4.6,4.1,2.2,1.7,1.3,0.7,0.4,,,,
Doug Christie,88.2,8.9,8.7,8.6,7.0,5.7,5.1,4.2,4.0,1.4,1.4,0.9,0.1,0.1,-0.1,-0.3
