Free Throw Pct
1998-99 NBA .904 (3rd)
1999-00 NBA .911 (3rd)
2000-01 NBA .883 (8th)
2001-02 NBA .888 (3rd)
2002-03 NBA .878 (10th)
Career NBA .871 (23rd)
Career .871 (24th)
