Minutes Per Game
2003-04 NBA 40.6 (3rd)
2004-05 NBA 39.5 (7th)
2005-06 NBA 40.7 (6th)
2006-07 NBA 41.4 (2nd)
2007-08 NBA 40.8 (2nd)
2008-09 NBA 39.5 (3rd)
2009-10 NBA 38.0 (10th)
Active 35.5 (9th)
Career NBA 35.5 (59th)
Career 35.5 (63rd)
