Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Joe Johnson,,8.4,7.6,7.6,7.0,6.4,6.0,5.1,5.1,4.9,4.2,4.1,3.3,3.0,2.8,2.7
Michael Finley,90.3,8.5,8.3,7.6,7.5,6.7,6.3,6.3,5.5,5.4,5.0,4.7,4.4,4.2,3.9,1.0
Dennis Johnson,89.6,8.4,8.1,7.4,6.7,6.6,6.6,6.4,5.8,5.7,5.2,5.0,4.5,3.8,2.5,
Byron Scott,89.0,10.7,7.7,6.9,6.8,6.6,6.0,6.0,5.2,4.1,3.9,3.3,3.1,2.7,2.3,
Danny Ainge,88.7,8.6,6.8,6.7,6.7,6.6,6.2,6.2,5.2,5.2,4.8,3.4,2.8,1.8,0.5,
Rolando Blackman,88.6,9.8,8.0,7.3,7.0,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4,,
Mike Bibby,88.5,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,4.0,2.1,1.3,0.7,
Rod Strickland,88.1,9.3,8.8,8.5,8.1,7.4,7.1,5.7,5.2,4.9,4.3,4.1,3.7,3.7,2.2,1.7
Reggie Theus,87.2,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8,,
Mark Jackson,87.0,7.9,7.6,7.6,7.5,7.2,7.2,6.7,6.1,6.0,5.9,4.5,4.2,4.1,3.8,3.7
Dan Majerle,86.9,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.6,2.5,2.1,
