Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Johan Petro,,1.7,1.0,0.8,0.7,0.4,0.4,0.4,0.2,,,,
Rickey Brown,77.4,1.8,0.9,0.9,0.7,0.4,,,,,,,
Walt Davis,74.7,1.6,0.9,0.9,0.8,0.6,,,,,,,
Greg Kite,72.4,2.0,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0.0,-0.1,-0.3
John Lambert,71.9,1.8,1.5,1.0,0.9,0.7,0.6,0.4,,,,,
Eric Leckner,69.5,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,,,,
Aaron Gray,66.2,1.4,1.3,1.1,0.9,0.8,0.5,0.1,,,,,
Calvin Booth,63.5,2.2,2.1,1.0,0.8,0.6,0.5,0.4,0.3,0.1,0.1,,
Greg Dreiling,61.7,1.1,0.6,0.6,0.5,0.4,0.4,0.2,0.2,0.1,0.1,,
Jawann Oldham,61.2,1.3,1.2,1.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,,
Melvin Ely,59.9,2.0,0.8,0.6,0.4,0.3,0.1,0.0,-0.1,-0.3,,,
