Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Tyson Chandler,,10.3,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,3.9,3.8,3.4,2.9,1.9,1.8
Dikembe Mutombo,85.2,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,4.8,4.7,3.8,3.1,0.8
Bill Laimbeer,85.2,10.8,10.5,10.1,9.8,9.2,9.0,8.8,8.5,8.0,5.4,5.4,4.9,4.7,0.5,
Alonzo Mourning,85.1,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6
Brad Miller,85.0,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,3.0,2.7,2.1,0.2,
Dave Cowens,84.0,12.0,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,,,,
Marcus Camby,82.3,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.5,2.1,1.5,0.9
Jack Sikma,81.4,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8.0,7.8,7.4,5.4,5.0,3.5,
Nate Thurmond,81.4,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4,2.3,
Clyde Lovellette,81.0,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,,,
Bill Cartwright,80.6,10.1,10.0,9.8,9.7,6.4,5.8,5.0,4.5,4.2,2.5,2.1,1.3,1.2,0.2,0.0
