True Shooting Pct
2006-07 NBA .620 (4th)
2007-08 NBA .632 (5th)
2010-11 NBA .697 (1st)
2011-12 NBA .708 (1st)
2012-13 NBA .671 (1st)
2014-15 NBA .697 (2nd)
Active .624 (1st)
Career NBA .624 (3rd)
Career .624 (2nd)
