Total Rebound Pct
2004-05 NBA 19.8 (6th)
2005-06 NBA 19.3 (6th)
2006-07 NBA 20.7 (1st)
2007-08 NBA 19.5 (6th)
2010-11 NBA 19.7 (6th)
2012-13 NBA 19.0 (8th)
2014-15 NBA 20.7 (6th)
2016-17 NBA 22.8 (4th)
Active 18.8 (4th)
Career NBA 18.8 (12th)
Career 18.8 (14th)
