Defensive Rebound Pct
2004-05 NBA 26.1 (9th)
2006-07 NBA 27.3 (7th)
2014-15 NBA 27.4 (6th)
2016-17 NBA 33.6 (4th)
Active 25.1 (7th)
Career NBA 25.1 (17th)
Career 25.1 (19th)
