Rebounds Per Game
2004-05 NBA 9.7 (10th)
2006-07 NBA 12.4 (2nd)
2007-08 NBA 11.7 (3rd)
2010-11 NBA 9.4 (10th)
2011-12 NBA 9.9 (9th)
2014-15 NBA 11.5 (5th)
2016-17 NBA 11.8 (8th)
Active 9.4 (8th)
Career NBA 9.4 (74th)
Career 9.4 (83rd)
