Offensive Rebound Pct
2004-05 NBA 13.4 (5th)
2005-06 NBA 14.4 (3rd)
2006-07 NBA 14.3 (2nd)
2007-08 NBA 13.2 (6th)
2012-13 NBA 14.1 (3rd)
2014-15 NBA 14.1 (6th)
2016-17 NBA 12.8 (9th)
Active 12.7 (4th)
Career NBA 12.7 (13th)
Career 12.7 (13th)
