Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chuck Hayes,,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0.0
Chris Andersen,86.4,5.9,5.4,4.5,3.2,2.7,2.4,1.9,1.3,1.1,0.3,0.0
Adam Keefe,85.4,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,
Kris Humphries,85.2,5.4,5.3,4.1,3.8,2.7,1.9,1.8,1.5,0.7,0.2,-0.3
George Lynch,84.6,6.5,5.8,3.9,3.5,2.6,2.5,2.5,1.7,1.5,0.9,0.7
Jay Vincent,84.4,6.5,6.0,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,,
Dorell Wright,84.4,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1
Jim Brewer,84.0,7.9,5.8,4.4,2.6,2.2,2.0,1.8,1.3,1.3,,
LaPhonso Ellis,83.2,8.0,7.6,5.2,3.6,2.2,1.9,1.4,1.1,1.0,0.8,0.0
Tracy Murray,83.0,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.2
Brandan Wright,81.7,6.1,5.1,4.1,3.5,1.9,1.1,0.8,0.7,,,
