Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
SF,56,13,1419,5.4,13.7,0.394,2.5,6.3,0.394,2.9,7.4,0.395,1.6,1.9,0.84,0.5,5.3,5.8,2.1,1.2,0.4,1.5,3,14.9,4500000
PG,62,61,2222,5.6,13.1,0.431,1.2,3.3,0.356,4.5,9.8,0.455,5.2,6.6,0.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.7,11595506
SF,82,82,2956,4.6,10,0.465,1.8,4.9,0.361,2.9,5.1,0.566,2,2.5,0.803,1.4,6,7.4,5.1,0.9,0.7,2.5,1.9,13,11765500
SF,63,40,1735,4.8,10.9,0.438,2,5.9,0.343,2.8,5.1,0.549,1.4,1.9,0.733,1.2,4.8,6.1,2.6,1.2,0.6,1.8,3.8,13,3396250
PG,60,7,1445,4.9,12.3,0.4,2,5.8,0.342,2.9,6.5,0.45,3.8,4.5,0.849,0.2,2.8,3.1,5.2,1.1,0.1,2.3,1.6,15.6,5450000
SG,82,82,3023,6.9,15.2,0.451,0.8,2.5,0.33,6,12.7,0.474,4,5.1,0.788,0.5,3.1,3.5,5.6,1.7,0.3,3.1,2.3,18.6,8360000
PG,74,0,1834,5.5,13.2,0.417,1.6,4.4,0.369,3.9,8.8,0.441,1.5,1.7,0.876,0.8,2.2,3,6.3,1.1,0.2,2.9,3.9,14.2,3750000
PF,82,73,2266,5.6,11.5,0.486,0,0.1,0.333,5.6,11.4,0.487,3.3,3.8,0.858,2.6,4.9,7.5,1.4,0.6,1.1,1.6,3,14.5,6900000
PF,46,18,653,4.1,8,0.507,0,0,,4.1,8,0.507,1.4,2.4,0.568,2.3,7.3,9.6,0.7,0.6,0.8,1.3,4.4,9.5,2732000
SG,82,82,2780,5.8,13.1,0.441,2.6,6.6,0.393,3.2,6.4,0.49,3.3,3.9,0.837,0.7,3.1,3.7,2.6,1,0.2,1.4,2.3,17.4,7245640
SF,82,4,1707,4.5,9.3,0.481,2.3,4.9,0.459,2.2,4.4,0.505,1,1.2,0.821,0.6,3.7,4.4,2.7,0.5,0.1,1.6,2,12.2,6600000
SF,82,4,1707,4.5,9.3,0.481,2.3,4.9,0.459,2.2,4.4,0.505,1,1.2,0.821,0.6,3.7,4.4,2.7,0.5,0.1,1.6,2,12.2,2732000
SG,35,34,987,6.6,14.5,0.455,2.7,6.7,0.395,3.9,7.8,0.507,3.5,3.9,0.915,0.3,2.4,2.7,2.8,1,0.1,1.5,2.4,19.4,6583500
PG,80,31,2252,4.6,11.2,0.41,1,3,0.341,3.6,8.2,0.435,2,2.4,0.839,0.4,3.2,3.6,5.2,0.9,0.4,2.1,2.1,12.1,6300000
PF,18,1,233,4.8,9.3,0.517,0,0,,4.8,9.3,0.517,2.2,2.6,0.824,2.3,6.5,8.8,0.8,0.5,0.2,1.4,5.3,11.7,6500000
PF,61,0,690,3.8,8.6,0.445,2.2,5.1,0.429,1.6,3.4,0.47,0.5,0.6,0.75,0.8,5.9,6.8,1.6,0.8,0.6,0.8,2.6,10.3,1448490
PF,22,14,795,7,16,0.438,3,7.4,0.409,4,8.6,0.463,2.7,2.8,0.952,3,3.4,6.4,0.8,0.5,0.3,0.9,2.1,19.7,8491500
