player_id,Season,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
ginobma01,2013,NBA,SG,68,3,1550,6.8,14.6,0.469,2.1,6,0.349,4.7,8.6,0.553,3.7,4.4,0.851,0.7,4,4.7,6.8,1.6,0.4,3.2,3,19.5,7500000
chandty01,2013,NBA,C,55,55,1662,4.1,7,0.593,0,0,0,4.1,7,0.595,2.1,3.4,0.632,3.4,8,11.5,1.3,0.8,1.4,1.5,3.1,10.4,14100538
parketo01,2013,NBA,PG,68,68,1997,8.2,16.5,0.499,0.5,1.2,0.373,7.8,15.3,0.509,3.6,4.4,0.811,0.3,2.5,2.8,7,0.6,0.2,2.7,1.6,20.4,12500000
westda01,2013,NBA,PF,80,80,2472,6.7,13.7,0.488,0.1,0.2,0.267,6.6,13.5,0.491,2.9,3.7,0.789,1.7,6.1,7.9,3.2,0.9,1.1,1.9,2.7,16.3,12000000
willide01,2013,NBA,PG,64,58,2059,5.6,12.5,0.45,1.7,4.7,0.366,3.9,7.8,0.5,3,3.8,0.801,0.3,2.7,2.9,6.9,1.6,0.2,2.5,2.6,16,18466130
iguodan01,2013,NBA,SF,63,63,2040,3.9,8.1,0.48,1.1,3.1,0.354,2.8,5,0.558,1.5,2.3,0.652,0.9,4.2,5.2,4.6,1.7,0.3,1.8,1.8,10.4,12868632
nashst01,2013,NBA,PG,15,10,313,4.1,10.8,0.383,0.9,2.8,0.333,3.2,8.1,0.4,2.5,2.8,0.917,0.5,2.9,3.3,9.9,0.8,0.2,3.6,2.1,11.7,9300500
billuch01,2013,NBA,SG,19,7,309,2.8,9.2,0.304,1.6,5.6,0.292,1.2,3.6,0.323,1.2,1.4,0.833,0.5,2.8,3.3,4.9,0.9,0.1,2.9,2.9,8.4,2500000
aldrila01,2013,NBA,PF,69,69,2498,9.4,20.5,0.458,0,0.2,0.2,9.4,20.3,0.461,4.3,5.2,0.822,2.4,8.6,11,2.6,0.9,1,1.8,2.1,23.1,14128000
allenra02,2013,NBA,SG,73,9,1936,4.5,10.1,0.442,2.2,5.7,0.375,2.3,4.4,0.53,2,2.2,0.905,0.4,3.4,3.8,2.7,1,0.1,1.6,2.1,13,3229050
leeda02,2013,NBA,PF,69,67,2288,8.1,15.4,0.523,0,0,0,8.1,15.4,0.523,3.6,4.7,0.78,2.9,7.3,10.1,2.3,0.8,0.4,2.4,3.2,19.8,13878000
stoudam01,2013,NBA,C,65,21,1466,7.6,13.7,0.557,0,0,,7.6,13.7,0.557,3.7,5,0.739,2.8,5.1,7.9,0.8,0.6,0.9,2.2,3.9,19,21679893
mariosh01,2013,NBA,SF,76,76,2409,5.1,10.6,0.482,0.9,2.4,0.358,4.2,8.2,0.518,0.8,1,0.785,2,5.5,7.4,1.9,1.3,0.6,1.4,1.9,11.8,9316796
hardeja01,2013,NBA,SG,73,73,2777,7.1,15.6,0.456,2.3,6.3,0.366,4.8,9.4,0.515,7.5,8.6,0.866,0.8,3.7,4.5,5.8,1.5,0.4,3.4,2.3,24,13701250
millspa01,2013,NBA,PF,74,73,2482,7,15.2,0.461,1.1,3.1,0.358,5.9,12.1,0.487,4.1,5.7,0.731,2.2,6.9,9.1,3.4,1.9,1.1,2.7,3,19.3,9500000
denglu01,2013,NBA,SF,63,63,2213,6,14,0.431,0.9,3.1,0.302,5.1,10.9,0.468,3.4,4.4,0.791,1.6,4.3,5.9,3,1,0.1,1.9,1.8,16.4,14275000
