Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
PG,14.5,0.407333333333333,0.2865,3.43333333333333,8.61666666666667,6.43333333333333,1193678.83333333
PG,66.5,0.4005,0.2495,3.0,16.8,7.0,2250480.0
SG,49.4,0.4228,0.3628,3.23,18.82,3.73,12207088.7
PG,46.3333333333333,0.433,0.321666666666667,3.03333333333333,18.0,6.53333333333333,6625000.0
SF,19.1666666666667,0.427666666666667,0.355666666666667,2.75,13.5333333333333,2.05,1342006.16666667
C,0.0,0.3735,0.0,4.7,9.45,0.2,4855612.5
PG,54.7142857142857,0.422,0.36,3.48571428571429,11.4285714285714,4.88571428571429,2618269.85714286
C,60.6,0.6181,0.0,3.59,10.84,0.95,11961145.1
SF,48.1428571428571,0.443714285714286,0.335428571428571,3.51428571428571,15.8857142857143,1.97142857142857,3526219.0
SF,0.0,0.389,0.0,3.1,7.4,1.5,1760000.0
PG,0.0,0.263,0.222,5.2,7.8,4.2,25000.0
SF,4.33333333333333,0.493833333333333,0.293333333333333,2.26666666666667,10.35,2.05,4841673.83333333
SG,3.5,0.32,0.0835,3.35,5.4,3.1,4966535.5
PF,9.0,0.391166666666667,0.2265,3.46666666666667,11.25,1.26666666666667,1729598.66666667
SG,0.0,0.345,0.333,3.7,10.7,2.3,816482.0
PG,38.0,0.448,0.314,2.7,17.1,5.0,507336.0
SF,5.33333333333333,0.415666666666667,0.333,4.03333333333333,9.63333333333333,1.56666666666667,1333333.33333333
PG,11.3333333333333,0.342,0.161333333333333,3.36666666666667,11.6666666666667,6.5,5404121.33333333
PG,0.0,0.352,0.25,4.7,11.4,6.6,305784.0
PG,9.25,0.41,0.32275,3.05,10.85,4.225,1321471.5
PG,49.8333333333333,0.464166666666667,0.365833333333333,2.01666666666667,15.2,6.05,2183354.66666667
C,12.0,0.411833333333333,0.0,5.71666666666667,6.4,1.46666666666667,1762559.0
C,30.375,0.385125,0.15625,5.85,4.5625,1.05,3604793.25
SG,5.66666666666667,0.358333333333333,0.254,3.36666666666667,9.2,4.1,1244980.66666667
PF,16.9,0.5417,0.0752,4.75,10.13,1.94,4694607.0
PG,0.0,0.28,0.2,1.1,9.3,4.4,473604.0
PG,69.0,0.441,0.37225,2.225,14.725,6.15,5827002.625
PG,0.0,0.15,0.0,3.4,3.9,3.5,66999.0
