Player,Sim,1,2,3,4,5,6,7,8,9
Francisco Elson,,3.1,2.9,1.8,1.8,1.6,0.6,0.0,0.0,0.0
Jake Voskuhl,82.6,3.3,2.7,2.5,1.7,1.0,0.6,0.2,0.0,-0.3
Jim Barnes,82.2,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,
Manute Bol,81.0,3.9,2.4,2.0,1.7,1.3,0.8,0.2,0.0,-0.2
Jake Tsakalidis,79.6,2.8,2.8,1.3,1.2,0.9,0.6,0.3,,
Michael Doleac,79.4,3.0,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3
Jim McIlvaine,78.1,3.0,1.9,1.8,1.5,0.8,0.3,0.1,,
Hub Reed,77.8,2.8,2.0,1.7,1.3,1.0,0.6,0.0,,
Cherokee Parks,77.4,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0.0
Steven Hunter,77.0,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1,
Jim Krebs,76.2,4.2,2.8,1.5,1.3,1.3,1.2,0.1,,
