Season,Team,Lg,Salary
2012-13,Cleveland Cavaliers,NBA,"$3,726,600"
2013-14,Cleveland Cavaliers,NBA,"$3,894,240"
2014-15,Oklahoma City Thunder,NBA,"$4,062,000"
2015-16,Oklahoma City Thunder,NBA,"$5,138,430"
