Season,Team,Lg,Salary
2011-12,Phoenix Suns,NBA,"$1,919,160"
2012-13,Phoenix Suns,NBA,"$2,063,040"
2013-14,Phoenix Suns,NBA,"$2,091,840"
2014-15,Phoenix Suns,NBA,"$2,989,239"
2015-16,Washington Wizards,NBA,"$8,000,000"
