Player,Sim,1,2,3,4,5,6,7
Serge Ibaka,,9.6,9.4,7.6,6.2,5.6,5.5,3.7
Chet Walker,93.0,10.1,9.8,8.2,7.8,5.4,5.3,3.7
Mehmet Okur,92.9,9.3,8.8,7.4,7.0,6.7,5.9,3.8
David Lee,92.6,10.3,9.0,7.4,6.9,6.0,5.0,2.7
Hot Rod Williams,90.3,9.2,8.7,7.7,7.5,5.7,4.5,2.4
Carmelo Anthony,90.1,9.4,8.2,7.9,7.3,6.1,5.0,4.9
Rodney McCray,89.9,9.4,8.5,7.9,7.6,6.3,4.6,2.9
Jamaal Wilkes,89.9,10.0,8.5,8.3,7.3,6.9,5.1,3.3
Shane Battier,89.8,9.1,9.0,8.2,7.8,6.2,5.9,4.8
Rudy LaRusso,89.6,8.8,7.3,7.0,6.9,5.5,5.4,3.9
Bob Netolicky,89.6,8.3,8.2,7.5,7.4,5.6,4.9,4.1
