Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Matt Barnes,,6.3,5.9,4.3,4.3,3.7,3.5,3.0,3.0,2.6,2.3,1.0,0.7,0.4
Sam Mitchell,91.4,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.9,0.6
Antoine Carr,89.9,5.5,5.4,4.3,4.0,3.8,3.5,3.3,2.4,2.2,2.1,2.1,1.2,0.7
Al Harrington,89.7,5.9,5.4,4.3,3.9,3.9,3.8,3.5,2.6,2.1,1.6,1.2,1.0,-0.2
Thurl Bailey,88.8,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,
Johnny Newman,88.8,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.7,2.3,1.2,0.3
Chris Andersen,88.1,6.0,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.1,0.3,0.0
John Johnson,87.8,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2,
Glenn Robinson,87.7,6.7,4.8,4.7,4.7,4.0,3.5,3.2,3.1,2.9,1.6,0.5,,
Rodney Rogers,86.9,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2.0,1.2,0.3,
Junior Bridgeman,86.7,6.7,6.1,5.5,5.1,4.8,4.0,3.6,3.1,2.6,2.1,0.8,0.6,
