Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,453,70,11.8,0.8,1.8,.457,0.0,0.0,.063,0.8,1.8,.465,.457,0.5,0.9,.527,1.2,1.3,2.6,0.4,0.3,0.2,0.5,1.9,2.2
6 seasons,,MIN,NBA,,270,40,12.1,0.7,1.5,.464,0.0,0.0,.000,0.7,1.5,.479,.464,0.4,0.9,.460,1.1,1.4,2.5,0.3,0.3,0.2,0.5,2.0,1.8
3 seasons,,LAL,NBA,,183,30,11.3,1.0,2.3,.450,0.0,0.0,.333,1.0,2.3,.451,.451,0.5,0.8,.638,1.4,1.2,2.6,0.6,0.2,0.2,0.4,1.8,2.6
