Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,492,9728,.413,18.4,.396,.170,.068,.039,.120,.604,.492,.655,.395,.326,.366,.360,.739,.032,72,.996,.335,.395,0,0
2 seasons,,DET,NBA,,124,2501,.404,20.4,.232,.135,.034,.018,.046,.768,.550,.670,.318,.500,.367,.360,.759,.018,12,.994,.348,.385,0,0
2 seasons,,MIN,NBA,,116,2244,.428,15.4,.564,.234,.135,.061,.133,.436,.502,.681,.418,.367,.333,.333,.679,.048,21,1.000,.278,.417,0,0
1 season,,CHA,NBA,,64,1298,.420,21.7,.195,.085,.036,.020,.055,.805,.450,.692,.182,.500,.235,.413,.741,.016,5,1.000,.332,.390,0,0
1 season,,ATL,NBA,,62,963,.380,19.2,.384,.139,.042,.046,.157,.616,.446,.533,.333,.300,.441,.338,.865,.023,4,1.000,.511,.397,0,0
1 season,,GSW,NBA,,44,1423,.431,15.0,.663,.254,.089,.067,.252,.337,.481,.667,.425,.200,.389,.331,.797,.060,26,1.000,.298,.356,0,0
1 season,,SAC,NBA,,37,815,.452,19.0,.328,.134,.086,.038,.075,.672,.557,.600,.563,.286,.571,.400,.618,.011,2,1.000,.288,.417,0,0
1 season,,PHO,NBA,,24,272,.351,22.4,.162,.068,.027,.000,.068,.838,.167,.400,.000,,.000,.387,1.000,.000,0,1.000,.323,.550,0,0
1 season,,SAS,NBA,,19,208,.292,19.6,.369,.169,.000,.000,.200,.631,.417,.636,,,.231,.220,.500,.031,2,.889,.220,.222,0,0
1 season,,POR,NBA,,2,4,.000,24.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,.000,0,,.000,,0,0
