Defensive Rebound Pct
1998-99 NBA 23.9 (10th)
1999-00 NBA 25.2 (8th)
2000-01 NBA 29.6 (2nd)
2001-02 NBA 28.9 (2nd)
2002-03 NBA 34.9 (1st)
2003-04 NBA 25.5 (6th)
2004-05 NBA 26.5 (7th)
2005-06 NBA 25.9 (6th)
Career NBA 25.6 (12th)
Career 25.6 (14th)
