Total Rebound Pct
1998-99 NBA 18.2 (9th)
1999-00 NBA 18.5 (6th)
2000-01 NBA 20.4 (4th)
2001-02 NBA 21.0 (2nd)
2002-03 NBA 23.2 (1st)
2003-04 NBA 19.1 (3rd)
2004-05 NBA 19.8 (5th)
2005-06 NBA 19.0 (7th)
2009-10 NBA 18.3 (9th)
Career NBA 18.9 (11th)
Career 18.9 (13th)
