Value Over Replacement Player
2001-02 NBA 5.9 (6th)
2002-03 NBA 5.1 (10th)
2003-04 NBA 5.5 (4th)
2005-06 NBA 5.7 (10th)
2006-07 NBA 5.2 (8th)
Career NBA 47.6 (31st)
Career 47.6 (32nd)
