Defensive Box Plus/Minus
1998-99 NBA 3.4 (7th)
1999-00 NBA 4.4 (2nd)
2000-01 NBA 5.7 (1st)
2001-02 NBA 6.5 (1st)
2002-03 NBA 7.0 (1st)
2003-04 NBA 6.8 (1st)
2004-05 NBA 5.4 (2nd)
2005-06 NBA 6.4 (1st)
2006-07 NBA 6.8 (1st)
2007-08 NBA 4.4 (4th)
2009-10 NBA 3.9 (5th)
Career NBA 5.5 (1st)
Career 5.5 (1st)
