Defensive Win Shares
2000-01 NBA 6.0 (3rd)
2001-02 NBA 7.2 (1st)
2002-03 NBA 7.9 (1st)
2003-04 NBA 9.1 (1st)
2004-05 NBA 6.7 (1st)
2005-06 NBA 6.9 (2nd)
2006-07 NBA 6.6 (2nd)
Career NBA 70.6 (14th)
Career 70.6 (16th)
