Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Ben Wallace,,11.6,10.6,10.2,10.1,8.5,8.2,7.0,5.6,4.7,3.8,3.6,3.6,2.9,1.9,1.4,-0.2
Chris Mullin,91.9,12.2,10.8,10.6,10.2,7.6,7.1,5.2,5.1,4.9,4.7,4.1,4.0,2.9,1.7,1.7,0.3
Chris Webber,91.3,11.0,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4.0,3.6,3.4,3.4,1.9,1.1,0.1,
Glen Rice,90.1,10.8,10.2,10.0,9.3,9.0,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0.0,-0.1,
Shawn Kemp,90.0,11.7,11.2,10.6,10.0,9.1,6.8,6.7,6.3,6.1,4.0,2.1,2.0,1.9,0.9,,
Cliff Hagan,89.9,11.8,11.7,10.8,10.0,8.5,7.1,6.5,6.0,4.7,3.7,3.0,1.3,0.1,,,
Lou Hudson,89.1,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,,,
Peja Stojakovic,87.5,13.5,10.1,10.1,9.9,8.1,8.0,7.3,4.8,3.8,2.7,1.7,1.6,0.9,,,
Carlos Boozer,87.1,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6,2.2,,,
Anthony Mason,87.0,11.6,11.4,11.3,9.3,8.9,8.6,7.4,6.4,5.6,4.9,3.1,0.1,-0.1,,,
Bobby Jones,86.9,11.0,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6.0,4.8,3.2,,,,
