Rebounds Per Game
2000-01 NBA 13.2 (2nd)
2001-02 NBA 13.0 (1st)
2002-03 NBA 15.4 (1st)
2003-04 NBA 12.4 (3rd)
2004-05 NBA 12.2 (2nd)
2005-06 NBA 11.3 (4th)
2006-07 NBA 10.7 (6th)
Career NBA 9.6 (60th)
Career 9.6 (68th)
