Offensive Rebound Pct
1999-00 NBA 11.8 (10th)
2001-02 NBA 12.9 (5th)
2002-03 NBA 11.9 (7th)
2003-04 NBA 12.5 (5th)
2004-05 NBA 12.9 (9th)
2005-06 NBA 12.2 (7th)
2006-07 NBA 12.9 (7th)
2009-10 NBA 14.1 (2nd)
Career NBA 12.3 (20th)
Career 12.3 (20th)
