Blocks Per Game
2000-01 NBA 2.3 (10th)
2001-02 NBA 3.5 (1st)
2002-03 NBA 3.2 (2nd)
2003-04 NBA 3.0 (2nd)
2004-05 NBA 2.4 (5th)
2005-06 NBA 2.2 (9th)
2006-07 NBA 2.0 (10th)
Career NBA 2.0 (22nd)
Career 2.0 (23rd)
