Player,Sim,1,2,3,4,5,6,7,8,9
Quincy Pondexter,,3.2,2.9,1.7,0.9,0.4,,,,
Shammond Williams,88.4,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,
Ken Charles,88.2,3.3,3.0,2.3,0.6,0.6,,,,
Jeremy Lamb,85.1,3.3,2.7,1.6,0.2,,,,,
Eddie Robinson,84.0,4.0,3.0,2.2,0.8,0.2,,,,
Roger Phegley,83.6,3.7,2.6,1.6,0.8,0.0,-0.1,,,
Greg Minor,83.1,3.0,2.1,1.7,0.8,0.6,,,,
Shannon Brown,83.1,3.4,3.1,1.6,1.2,0.7,0.1,0.0,-0.3,-0.5
Butch Carter,82.7,3.0,2.6,1.3,0.9,0.9,-0.2,,,
Pep Saul,82.6,4.2,2.8,1.5,0.8,0.6,,,,
Khalid Reeves,82.0,3.5,2.5,1.2,1.1,0.1,0.0,,,
