Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,NOH,NBA,SF,3,0,9,4.0,24.0,.167,0.0,12.0,.000,4.0,12.0,.333,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,8.0
2011-12,23,MEM,NBA,SF,7,0,114,3.8,5.7,.667,0.6,1.3,.500,3.2,4.4,.714,2.2,2.8,.778,0.9,4.1,5.1,0.6,1.3,0.0,1.6,4.1,10.4
2012-13,24,MEM,NBA,SF,15,0,357,4.6,9.5,.489,2.4,5.3,.453,2.2,4.1,.537,1.7,2.8,.607,0.9,2.9,3.8,1.1,1.1,0.2,0.9,3.1,13.4
2014-15,26,NOP,NBA,SF,4,4,124,2.9,8.1,.357,0.9,2.9,.300,2.0,5.2,.389,1.7,2.0,.857,0.9,4.9,5.8,3.5,2.0,0.0,0.3,3.8,8.4
