Player,Sim,1,2,3,4,5,6,7,8,9
Damien Wilkins,,2.8,1.9,1.9,1.7,1.5,1.0,1.0,0.4,0.0
Jud Buechler,89.9,2.9,2.3,1.9,1.8,1.5,1.2,1.2,0.5,0.4
Ryan Bowen,87.1,3.1,2.1,1.7,1.5,1.4,1.1,0.8,0.6,0.2
Tony Massenburg,86.6,2.8,2.2,1.8,1.7,1.3,0.7,0.4,0.2,-0.1
Jason Smith,86.4,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,
Steve Kuberski,86.1,2.6,2.3,1.7,1.7,1.2,1.1,0.6,0.2,0.0
Joe Bryant,84.2,3.4,2.2,1.8,1.5,1.5,1.3,1.2,0.0,
Bill Willoughby,82.6,3.0,2.6,1.8,1.5,1.2,1.2,1.1,0.9,
Tom Hammonds,82.5,2.6,2.4,2.2,1.8,1.7,0.8,0.8,0.6,0.5
Earl Cureton,81.4,2.7,2.6,2.1,2.0,1.5,1.2,1.0,0.8,0.7
Wally Walker,81.1,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,
