Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
Career,,,NBA,,709,17116,,20%,53%,26%,1%,+1.3,+3.3,348,151,149,498,32,71,56,2571,439,98,224
6 seasons,,PHO,NBA,,389,9761,1%,28%,63%,8%,1%,+0.8,+3.9,210,89,91,273,5,45,24,1402,334,69,149
2 seasons,,CHA,NBA,,93,1811,,1%,23%,73%,3%,-2.8,+2.3,29,14,17,80,0,11,0,234,73,15,35
1 season,,WAS,NBA,,81,2098,,,1%,94%,5%,+1.3,+3.7,43,28,9,78,14,5,16,388,36,7,6
1 season,,LAC,NBA,,74,1729,,,90%,10%,,+5.9,-2.1,31,9,16,65,3,10,8,245,21,4,18
1 season,,MIL,NBA,,72,1717,,37%,54%,9%,,+3.5,+4.8,35,11,16,46,10,9,8,302,19,3,16
