Player,Sim,1,2,3,4,5,6,7,8,9
T.J. Ford,,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,
Al Wood,88.7,4.4,4.2,2.5,2.3,1.0,0.9,,,
Eric Money,85.5,4.2,3.6,3.3,2.7,0.6,0.3,,,
Fred Jones,84.9,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,
Daniel Gibson,84.8,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,
Ron Brewer,84.8,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,
John Roche,84.3,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5,
Whitey Skoog,83.7,4.1,3.6,2.9,1.9,1.0,0.7,,,
Gerald Henderson,83.6,3.6,3.6,3.3,2.4,2.0,1.0,0.4,,
Adrian Griffin,83.2,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0.0
Patrick Beverley,83.2,4.4,4.2,3.5,2.2,,,,,
