Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Nick Collison,,5.2,5.0,4.7,4.6,4.5,3.9,3.6,3.6,3.5,2.3,2.2,0.8
Rick Fox,91.2,5.3,5.2,5.1,5.1,4.3,3.6,3.2,3.2,2.8,2.3,2.1,1.8
Larry Smith,89.3,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,1.2,0.3
Mark Olberding,88.9,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3,1.5
Sam Mitchell,86.4,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.6
Glenn Robinson,85.2,6.7,4.8,4.7,4.7,4.0,3.5,3.2,3.1,2.9,1.6,0.5,
Juwan Howard,85.0,7.0,6.0,5.6,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9
Tom Meschery,84.6,7.5,5.2,4.8,4.6,4.4,4.1,3.7,3.1,3.1,3.0,,
Stephen Jackson,84.4,5.0,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,0.6,-0.1
Chuck Person,84.4,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.9,0.0
Johnny Newman,84.1,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.7,2.3,0.3
