Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jannero Pargo,,2.0,1.3,1.1,0.5,0.2,0.2,0.1,0.1,-0.1,-0.2,-0.3
Todd Lichti,76.1,1.8,1.3,1.2,1.0,0.2,,,,,,
Donnie Butcher,75.9,1.9,1.2,1.1,0.5,-0.3,,,,,,
Shelvin Mack,75.1,2.3,1.3,1.3,0.7,0.5,,,,,,
Mike Davis,74.4,2.2,1.2,0.9,0.6,,,,,,,
John Wetzel,74.2,2.0,1.5,1.1,0.7,0.5,0.5,0.4,,,,
Dion Waiters,73.4,2.1,1.6,1.1,0.9,,,,,,,
Mo Layton,72.6,1.9,1.1,1.0,0.3,0.1,,,,,,
Joe Hassett,71.2,2.0,1.6,1.4,0.9,0.5,0.0,,,,,
Lloyd Walton,71.1,1.9,1.1,1.1,1.1,0.1,,,,,,
Bo Lamar,70.8,2.5,1.5,1.0,0.5,,,,,,,
