Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Other,Shoot,Block,Offens,Take,PGA,SfDrawn,And1,Blkd
2000-01,30,SAC,NBA,SG,8,304,3%,94%,3%,,,-3.2,-18.3,11,7,1,17,,1,0,57,11,3,10
2001-02,31,SAC,NBA,SG,16,644,,76%,24%,,,6.7,22.1,26,6,12,17,,10,0,172,12,2,9
2002-03,32,SAC,NBA,SG,12,381,1%,84%,15%,,,4.7,6.9,13,2,7,4,,6,0,123,10,3,8
2003-04,33,SAC,NBA,SG,12,461,1%,85%,14%,,,-0.3,-3.4,12,6,4,5,,3,0,111,15,4,7
