Steals Per Game
1996-97 NBA 2.5 (2nd)
1997-98 NBA 2.4 (3rd)
1998-99 NBA 2.3 (5th)
2000-01 NBA 2.3 (3rd)
2001-02 NBA 2.0 (5th)
2002-03 NBA 2.2 (4th)
2003-04 NBA 1.8 (5th)
Career NBA 1.9 (21st)
Career 1.9 (26th)
