Blocks Per Game
2000-01 NBA 2.8 (2nd)
2001-02 NBA 2.3 (6th)
2002-03 NBA 2.3 (7th)
2003-04 NBA 2.6 (6th)
2005-06 NBA 2.3 (8th)
2006-07 NBA 2.6 (3rd)
2008-09 NBA 2.0 (5th)
Career NBA 1.8 (29th)
Career 1.8 (29th)
