Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Career,,,NBA,,72,2419,12.6,.534,.409,.332,2.3,10.1,6.3,14.4,2.2,0.9,17.0,21.9,,0.3,2.9,3.2,.063,,0.3,0.8,1.1,1.9
2 seasons,,SAS,NBA,,38,1110,12.8,.575,.470,.244,2.5,9.9,6.3,13.6,2.0,0.8,19.0,18.8,,0.7,1.6,2.3,.100,,1.8,0.6,2.4,1.2
2 seasons,,IND,NBA,,19,699,11.4,.491,.342,.300,2.1,11.1,6.7,14.8,2.3,0.8,14.3,23.9,,-0.5,1.1,0.5,.036,,-0.6,0.6,0.0,0.4
1 season,,GSW,NBA,,11,454,15.0,.549,.447,.540,1.4,8.6,4.9,14.2,2.4,1.4,17.1,23.4,,0.5,0.2,0.6,.066,,-0.4,1.6,1.2,0.4
1 season,,CHA,NBA,,4,156,9.8,.459,.269,.388,5.0,11.6,8.3,19.3,1.8,0.8,17.8,30.2,,-0.4,0.1,-0.3,-0.085,,-4.4,0.9,-3.6,-0.1
