Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Career,,,NBA,,72,58,2419,331,820,.404,119,335,.355,212,485,.437,.476,222,272,.816,48,215,263,193,98,28,193,205,1003
2 seasons,,SAS,NBA,,38,24,1110,146,332,.440,64,156,.410,82,176,.466,.536,67,81,.827,24,102,126,89,42,12,86,91,423
2 seasons,,IND,NBA,,19,19,699,100,260,.385,26,89,.292,74,171,.433,.435,63,78,.808,12,65,77,49,29,7,49,62,289
1 season,,GSW,NBA,,11,11,454,61,161,.379,26,72,.361,35,89,.393,.460,71,87,.816,6,34,40,40,22,8,41,39,219
1 season,,CHA,NBA,,4,4,156,24,67,.358,3,18,.167,21,49,.429,.381,21,26,.808,6,14,20,15,5,1,17,13,72
