Player,Sim,1,2,3,4,5,6,7,8
George Hill,,9.7,7.8,6.7,6.2,6.1,5.4,4.0,2.1
Ron Boone,95.0,9.7,8.3,6.2,5.9,5.9,5.1,4.0,2.8
Randy Smith,94.7,9.4,7.9,7.2,6.4,5.8,5.7,3.0,2.2
Mike Conley,93.6,9.9,8.2,6.8,6.6,6.4,4.5,4.0,1.1
Mitch Richmond,93.2,9.3,8.0,7.1,6.4,5.6,5.2,4.9,3.1
World B. Free,93.0,10.1,8.0,7.4,6.9,6.0,5.7,4.6,1.5
Tom Gola,92.8,9.9,7.4,7.1,6.8,6.5,4.4,4.4,1.7
Byron Scott,91.5,10.7,7.7,6.9,6.8,6.6,6.0,5.2,2.7
Cuttino Mobley,91.2,8.2,7.6,6.9,5.7,5.3,5.2,4.4,2.3
Rod Strickland,90.8,9.3,8.5,7.4,7.1,5.7,5.2,4.3,3.7
Reggie Theus,90.8,9.2,6.9,6.5,6.4,5.3,4.6,3.2,1.8
