Player,Sim,1,2,3
Orlando Johnson,,1.5,0.1,-0.2
Greg Grant,86.2,1.4,0.0,-0.1
Mike Evans,85.3,1.6,0.1,-0.1
Doug Christie,82.0,1.4,0.1,-0.3
Seth Curry,81.5,1.4,0.0,0.0
Tony Dumas,78.7,1.6,0.0,-0.3
Bobby Wilson,78.7,1.6,0.2,-0.1
Kevin Edwards,77.1,1.6,0.3,-0.2
Scott Skiles,74.8,1.3,0.3,-0.2
Nick Jones,73.8,1.3,0.2,-0.2
Keyon Dooling,72.3,1.4,0.3,0.0
