Player,Sim,1,2,3,4,5,6,7,8,9,10
Darko Milicic,,3.3,1.9,1.2,0.7,0.2,0.2,0.0,-0.1,-0.2,-0.2
Lee Nailon,83.0,3.5,2.2,0.9,0.7,0.5,0.3,,,,
Lou Amundson,82.0,2.9,1.8,1.0,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Lorenzo Williams,81.8,3.1,1.7,1.1,0.4,0.4,0.3,0.3,,,
Simmie Hill,80.5,3.1,1.6,1.2,1.0,,,,,,
Brady Walker,80.1,2.8,1.9,1.2,1.0,,,,,,
Barney Cable,79.5,3.3,1.6,0.7,0.4,0.3,0.1,,,,
Joey Graham,78.7,3.0,2.2,1.3,1.1,0.3,0.0,,,,
George Lee,78.4,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,,,
Mike Farmer,78.3,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1,,,
Sam Mack,78.2,2.8,1.9,1.3,1.1,0.3,0.0,-0.1,,,
