Offensive Box Plus/Minus
2011-12 NBA 5.6 (4th)
2012-13 NBA 5.4 (6th)
2013-14 NBA 6.2 (6th)
2014-15 NBA 7.4 (4th)
2015-16 NBA 7.1 (4th)
2016-17 NBA 8.6 (3rd)
Active 5.7 (4th)
Career NBA 5.7 (5th)
Career 5.7 (5th)
