Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
James Harden,,16.4,13.3,12.8,12.8,9.3,7.1,4.5,,,,,,
Stephen Curry,83.1,17.9,15.7,13.4,11.2,6.6,4.7,2.2,,,,,,
Russell Westbrook,80.3,14.0,11.6,10.6,9.4,7.9,6.1,5.2,1.9,,,,,
Sidney Moncrief,77.5,13.4,13.2,12.7,11.7,11.2,9.9,5.0,4.9,3.7,2.9,1.8,,
Jimmy Jones,75.9,16.1,10.5,10.3,9.3,9.3,8.8,8.3,4.1,2.2,-0.1,,,
David Thompson,74.2,12.7,12.4,10.7,9.5,6.4,5.4,3.0,2.0,1.0,,,,
Tiny Archibald,73.3,14.2,12.9,11.2,8.9,8.0,6.9,5.2,5.1,2.9,2.8,2.3,1.6,1.4
Larry Jones,70.8,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,,,,,
Kevin Johnson,70.0,12.7,12.2,11.7,11.6,10.0,8.7,8.2,5.1,4.8,4.0,3.5,0.5,
Mark Price,69.4,11.3,10.1,10.0,9.8,9.1,7.8,4.2,4.0,2.0,1.7,1.1,0.0,
Dwyane Wade,67.6,14.7,14.4,13.0,12.8,11.0,9.6,8.8,7.7,5.5,4.9,4.6,3.5,3.3
