Minutes Per Game
2012-13 NBA 38.3 (6th)
2013-14 NBA 38.0 (5th)
2014-15 NBA 36.8 (2nd)
2015-16 NBA 38.1 (1st)
2016-17 NBA 36.6 (6th)
