Free Throw Attempts
2011-12 NBA 369 (10th)
2012-13 NBA 792 (1st)
2013-14 NBA 665 (3rd)
2014-15 NBA 824 (1st)
2015-16 NBA 837 (1st)
2016-17 NBA 579 (1st)
Career NBA 4649 (97th)
