Points Per Game
2012-13 NBA 25.9 (5th)
2013-14 NBA 25.4 (5th)
2014-15 NBA 27.4 (2nd)
2015-16 NBA 29.0 (2nd)
2016-17 NBA 28.9 (3rd)
Active 21.8 (8th)
Career NBA 21.8 (33rd)
Career 21.8 (34th)
