3-Pt Field Goals
2012-13 NBA 179 (6th)
2014-15 NBA 208 (4th)
2015-16 NBA 236 (3rd)
2016-17 NBA 167 (3rd)
Career NBA 1287 (36th)
Career 1287 (36th)
