Value Over Replacement Player
2012-13 NBA 5.7 (4th)
2013-14 NBA 5.4 (7th)
2014-15 NBA 7.8 (2nd)
2015-16 NBA 6.9 (4th)
2016-17 NBA 6.0 (2nd)
Career NBA 38.7 (56th)
Career 38.7 (57th)
