3-Pt Field Goal Attempts
2012-13 NBA 486 (5th)
2014-15 NBA 555 (3rd)
2015-16 NBA 657 (2nd)
2016-17 NBA 483 (1st)
Career NBA 3528 (38th)
Career 3528 (38th)
