Player Efficiency Rating
2014-15 NBA 26.7 (4th)
2015-16 NBA 25.3 (8th)
2016-17 NBA 27.6 (5th)
Active 22.7 (9th)
Career NBA 22.7 (26th)
Career 22.7 (27th)
