Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,28,ATL,NBA,PF,1,0,14:52,3,5,.600,0,2,.000,0,0,,0,3,1,0,0,0,0,6
2014-15,29,ATL,NBA,PF,1,0,15:35,2,6,.333,1,3,.333,0,0,,1,6,3,2,0,2,0,5
2015-16,30,ATL,NBA,PF,1,0,19:04,1,6,.167,1,2,.500,0,0,,1,3,1,0,0,0,0,3
2016-17,31,ATL,,PF,,0,,,,,,,,,,,,,,,,,,
