Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Paul Millsap,,10.1,8.3,7.8,7.7,7.7,7.6,7.2,6.7,5.2,4.7,,,
Jamaal Wilkes,94.1,10.0,8.5,8.3,7.7,7.4,7.3,6.9,6.0,5.1,3.3,0.9,0.0,
Bob Dandridge,90.0,9.5,9.1,9.0,8.7,8.4,8.1,7.0,6.8,6.0,5.4,1.7,0.5,0.0
David West,90.0,9.1,8.4,8.1,7.8,7.8,7.5,7.4,5.9,5.4,5.2,4.3,2.8,0.2
Happy Hairston,89.6,9.3,9.2,8.8,7.2,7.0,7.0,6.5,5.3,5.1,4.2,0.4,,
Jack Twyman,89.6,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,,
LaMarcus Aldridge,87.9,11.1,10.1,9.5,8.8,8.6,7.5,7.2,7.0,6.2,3.4,,,
Shareef Abdur-Rahim,87.8,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0.0,
Larry Johnson,87.4,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,,,
John Drew,87.3,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3.0,0.7,,
Dan Roundfield,86.5,9.1,8.7,7.4,7.1,7.0,6.9,6.5,5.1,3.9,2.7,1.3,0.6,
