Offensive Win Shares
2004-05 NBA 8.6 (9th)
2005-06 NBA 12.7 (2nd)
2006-07 NBA 8.7 (5th)
2007-08 NBA 10.2 (4th)
2008-09 NBA 7.9 (7th)
2009-10 NBA 7.7 (8th)
Career NBA 92.4 (25th)
Career 92.4 (28th)
