Offensive Box Plus/Minus
2002-03 NBA 5.0 (6th)
2005-06 NBA 6.9 (4th)
2006-07 NBA 5.4 (9th)
2007-08 NBA 6.8 (3rd)
2008-09 NBA 4.2 (9th)
2009-10 NBA 5.0 (5th)
2010-11 NBA 4.1 (10th)
Career NBA 4.1 (18th)
Career 4.1 (18th)
