Free Throw Pct
1998-99 NBA .913 (2nd)
2001-02 NBA .885 (6th)
2002-03 NBA .878 (8th)
2003-04 NBA .878 (6th)
2004-05 NBA .898 (5th)
2005-06 NBA .894 (6th)
2006-07 NBA .883 (8th)
2007-08 NBA .918 (2nd)
2008-09 NBA .913 (4th)
2009-10 NBA .910 (4th)
2010-11 NBA .916 (2nd)
Career NBA .894 (6th)
Career .894 (5th)
